"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 05, 2021","38,490,000","38,967,000","38,967,000","38,490,000","1.41K","-1.22%"
"Jun 04, 2021","38,967,000","41,098,000","41,098,000","38,557,000","1.51K","-5.19%"
"Jun 03, 2021","41,098,000","39,135,000","41,098,000","39,135,000","1.87K","5.02%"
"Jun 02, 2021","39,135,000","38,269,000","39,135,000","38,269,000","2.08K","2.26%"
"Jun 01, 2021","38,269,000","39,661,000","39,661,000","38,269,000","2.48K","-3.51%"
"May 31, 2021","39,661,000","35,301,000","39,661,000","34,888,000","2.86K","12.35%"
"May 30, 2021","35,301,000","33,859,000","35,301,000","33,859,000","1.79K","4.26%"
"May 29, 2021","33,859,000","35,775,000","35,775,000","33,859,000","1.57K","-5.36%"
"May 28, 2021","35,775,000","40,174,000","40,174,000","35,775,000","2.67K","-10.95%"
"May 27, 2021","40,174,000","42,499,000","42,499,000","40,174,000","1.74K","-5.47%"
"May 26, 2021","42,499,000","39,749,000","42,499,000","39,749,000","2.70K","6.78%"
"May 25, 2021","39,800,000","39,095,000","39,800,000","37,601,000","3.63K","1.80%"
"May 24, 2021","39,095,000","31,669,000","39,095,000","31,669,000","3.63K","23.45%"
"May 23, 2021","31,669,000","34,615,000","34,615,000","30,666,000","4.27K","-8.51%"
"May 22, 2021","34,615,000","37,318,000","37,318,000","34,615,000","2.29K","-7.24%"
"May 21, 2021","37,318,000","41,968,000","41,968,000","37,318,000","3.18K","-11.08%"
"May 20, 2021","41,968,000","37,941,000","41,968,000","37,941,000","4.51K","10.61%"
"May 19, 2021","37,941,000","50,482,000","50,482,000","37,941,000","7.45K","-24.84%"
"May 18, 2021","50,482,000","49,103,000","50,482,000","49,103,000","2.31K","2.81%"
"May 17, 2021","49,103,000","54,250,000","54,250,000","49,103,000","4.62K","-9.49%"
"May 16, 2021","54,250,000","55,202,000","56,669,000","54,250,000","2.89K","-1.87%"
"May 15, 2021","55,281,000","60,411,000","60,411,000","55,281,000","1.87K","-8.49%"
"May 14, 2021","60,411,000","56,701,000","60,411,000","56,701,000","2.34K","6.60%"
"May 13, 2021","56,670,000","59,800,000","60,090,000","56,670,000","4.25K","-5.23%"
"May 12, 2021","59,800,000","61,799,000","63,999,000","59,800,000","3.80K","-3.23%"
"May 11, 2021","61,799,000","60,233,000","61,799,000","58,746,000","2.84K","2.60%"
"May 10, 2021","60,233,000","58,097,000","60,477,000","58,097,000","3.11K","3.67%"
"May 09, 2021","58,100,000","56,652,000","59,100,000","56,652,000","2.79K","2.56%"
"May 08, 2021","56,652,000","51,005,000","56,652,000","51,005,000","2.43K","11.07%"
"May 07, 2021","51,005,000","51,349,000","51,349,000","50,652,000","1.63K","-0.67%"
"May 06, 2021","51,349,000","51,700,000","51,700,000","50,012,000","1.92K","-0.68%"
"May 05, 2021","51,700,000","51,500,000","51,700,000","48,367,000","2.51K","2.38%"
"May 04, 2021","50,497,000","50,420,000","51,296,000","47,914,000","3.76K","0.15%"
"May 03, 2021","50,420,000","43,290,000","50,420,000","43,290,000","4.56K","16.48%"
"May 02, 2021","43,288,000","42,797,000","43,288,000","42,797,000","1.60K","1.14%"
"May 01, 2021","42,798,000","40,374,000","42,798,000","40,374,000","0.88K","6.00%"
"Apr 30, 2021","40,374,000","40,667,000","40,667,000","40,097,000","1.15K","-0.72%"
"Apr 29, 2021","40,667,000","40,449,000","40,667,000","40,407,000","1.13K","0.54%"
"Apr 28, 2021","40,449,000","39,301,000","40,449,000","38,449,000","1.56K","2.92%"
"Apr 27, 2021","39,301,000","37,700,000","39,301,000","37,700,000","1.07K","4.25%"
"Apr 26, 2021","37,700,000","35,652,000","37,700,000","35,652,000","1.55K","5.74%"
"Apr 25, 2021","35,652,000","33,995,000","35,652,000","33,995,000","0.91K","4.87%"
"Apr 24, 2021","33,995,000","36,085,000","36,085,000","33,995,000","0.74K","-5.79%"
"Apr 23, 2021","36,085,000","37,745,000","37,745,000","36,085,000","2.47K","-4.40%"
"Apr 22, 2021","37,745,000","36,018,000","39,002,000","36,018,000","3.20K","4.79%"
"Apr 21, 2021","36,018,000","35,682,000","36,018,000","35,682,000","1.29K","0.68%"
"Apr 20, 2021","35,776,000","33,694,000","35,776,000","33,694,000","1.35K","6.18%"
"Apr 19, 2021","33,694,000","35,408,000","35,408,000","33,694,000","1.08K","-4.84%"
"Apr 18, 2021","35,408,000","35,610,000","35,610,000","35,408,000","1.84K","-0.57%"
"Apr 17, 2021","35,610,000","36,311,000","36,311,000","35,610,000","0.79K","-1.93%"
"Apr 16, 2021","36,311,000","37,309,000","37,661,000","36,311,000","1.19K","-2.67%"
"Apr 15, 2021","37,309,000","36,137,000","37,309,000","36,137,000","1.19K","3.24%"
"Apr 14, 2021","36,137,000","33,887,000","36,137,000","33,760,000","2.60K","6.64%"
"Apr 13, 2021","33,887,000","32,066,000","33,887,000","32,066,000","4.41K","5.68%"
"Apr 12, 2021","32,066,000","31,850,000","32,066,000","31,760,000","2.18K","0.68%"
"Apr 11, 2021","31,850,000","31,569,000","31,850,000","31,569,000","0.63K","0.89%"
"Apr 10, 2021","31,569,000","30,779,000","31,569,000","30,779,000","3.15K","2.57%"
"Apr 09, 2021","30,779,000","30,725,000","30,779,000","30,725,000","0.68K","0.18%"
"Apr 08, 2021","30,725,000","29,418,000","30,725,000","29,418,000","0.74K","4.44%"
"Apr 07, 2021","29,418,000","31,165,000","31,165,000","29,418,000","1.41K","-5.61%"
"Apr 06, 2021","31,165,000","31,069,000","31,498,000","31,069,000","1.21K","0.31%"
"Apr 05, 2021","31,069,000","30,253,000","31,202,000","29,752,000","1.30K","2.70%"
"Apr 04, 2021","30,253,000","29,252,000","30,516,000","29,252,000","0.91K","3.42%"
"Apr 03, 2021","29,252,000","30,717,000","30,717,000","29,252,000","1.26K","-4.77%"
"Apr 02, 2021","30,717,000","28,340,000","30,717,000","28,340,000","1.99K","8.39%"
"Apr 01, 2021","28,340,000","27,718,000","28,340,000","27,718,000","1.26K","2.24%"
"Mar 31, 2021","27,718,000","26,423,000","27,718,000","26,423,000","1.74K","4.90%"
"Mar 30, 2021","26,423,000","26,228,000","26,423,000","26,228,000","0.93K","0.74%"
"Mar 29, 2021","26,228,000","24,559,000","26,228,000","24,559,000","1.24K","6.80%"
"Mar 28, 2021","24,559,000","24,893,000","24,893,000","24,559,000","0.49K","-1.34%"
"Mar 27, 2021","24,893,000","24,794,000","24,893,000","24,794,000","0.64K","0.40%"
