,Timestamp,Open,High,Low,Close,Volume,Trend
1188,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1189,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1190,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1191,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1192,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1193,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1194,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1195,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1196,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1197,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1198,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1199,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1200,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1201,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1202,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1203,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1204,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
1205,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1206,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1207,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1208,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1209,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1210,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1211,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1212,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1213,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1214,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1215,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1216,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1217,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1218,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1219,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1220,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1221,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
1222,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1223,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1224,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1225,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1226,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1227,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1228,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1229,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1230,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1231,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1232,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1233,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1234,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1235,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1236,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1237,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1238,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
1239,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1240,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1241,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1242,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1243,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1244,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1245,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1246,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1247,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1248,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1249,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1250,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1251,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1252,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1253,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1254,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
1255,1.65064E+12,577000000,577001000,576979000,576979000,0.02295026,0
1256,1.65064E+12,576853000,576853000,576790000,576790000,0.0317819,0
1257,1.65064E+12,576650000,576650000,576230000,576230000,0.06144116,0
1258,1.65064E+12,576230000,576230000,575389000,575412000,0.52701295,0
1259,1.65064E+12,575660000,575790000,575660000,575790000,0.01505862,2
1260,1.65064E+12,576870000,577097000,576000000,576846000,0.96216132,0
1261,1.65064E+12,576321000,576321000,576321000,576321000,0.00207594,0
1262,1.65064E+12,576320000,576320000,576320000,576320000,0.00021698,2
1263,1.65064E+12,576321000,576321000,576320000,576321000,0.05244115,0
1264,1.65064E+12,576320000,576320000,576320000,576320000,0.01859738,0
1265,1.65064E+12,576321000,576321000,576003000,576003000,0.09857241,0
1266,1.65064E+12,576003000,576004000,576003000,576004000,0.00043948,2
1267,1.65064E+12,576229000,576584000,576229000,576584000,0.05975763,2
1268,1.65064E+12,576590000,576789000,576590000,576789000,0.00170539,2
1269,1.65064E+12,576790000,576980000,576790000,576980000,0.00074271,2
1270,1.65064E+12,577180000,577244000,577180000,577244000,0.00212112,0
1271,1.65064E+12,577243000,577243000,577000000,577001000,0.04344045,0
